source,file_name,eol,valid_cycle_number,usable_length
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o.pkl,266.0,1082,266.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p.pkl,263.0,1080,263.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s.pkl,231.0,1088,231.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t.pkl,234.0,1083,234.0
HUST,HUST_1-1.pkl,1542.0,1504,1504.0
HUST,HUST_1-2.pkl,2755.0,2678,2678.0
HUST,HUST_1-3.pkl,1911.0,1858,1858.0
HUST,HUST_1-4.pkl,1549.0,1500,1500.0
HUST,HUST_1-5.pkl,2033.0,1971,1971.0
HUST,HUST_1-6.pkl,1179.0,1143,1143.0
HUST,HUST_1-7.pkl,1726.0,1678,1678.0
HUST,HUST_1-8.pkl,2359.0,2285,2285.0
HUST,HUST_10-1.pkl,1760.0,1702,1702.0
HUST,HUST_10-2.pkl,1742.0,1697,1697.0
HUST,HUST_10-3.pkl,1901.0,1848,1848.0
HUST,HUST_10-4.pkl,1849.0,1811,1811.0
HUST,HUST_10-5.pkl,2080.0,2030,2030.0
HUST,HUST_10-6.pkl,2344.0,2285,2285.0
HUST,HUST_10-7.pkl,1821.0,1783,1783.0
HUST,HUST_10-8.pkl,1432.0,1400,1400.0
HUST,HUST_2-2.pkl,2716.0,2651,2651.0
HUST,HUST_2-3.pkl,1810.0,1751,1751.0
HUST,HUST_2-4.pkl,1545.0,1499,1499.0
HUST,HUST_2-5.pkl,1441.0,1386,1386.0
HUST,HUST_2-6.pkl,1621.0,1572,1572.0
HUST,HUST_2-7.pkl,2261.0,2202,2202.0
HUST,HUST_2-8.pkl,1531.0,1481,1481.0
HUST,HUST_3-1.pkl,1995.0,1938,1938.0
HUST,HUST_3-2.pkl,2353.0,2283,2283.0
HUST,HUST_3-3.pkl,1698.0,1649,1649.0
HUST,HUST_3-4.pkl,1829.0,1766,1766.0
HUST,HUST_3-5.pkl,2768.0,2657,2657.0
HUST,HUST_3-6.pkl,2575.0,2491,2491.0
HUST,HUST_3-7.pkl,2569.0,2479,2479.0
HUST,HUST_3-8.pkl,2412.0,2342,2342.0
HUST,HUST_4-1.pkl,2278.0,2217,2217.0
HUST,HUST_4-2.pkl,1812.0,1782,1782.0
HUST,HUST_4-3.pkl,1164.0,1142,1142.0
HUST,HUST_4-4.pkl,1528.0,1491,1491.0
HUST,HUST_4-5.pkl,1600.0,1561,1561.0
HUST,HUST_4-6.pkl,1420.0,1380,1380.0
HUST,HUST_4-7.pkl,2272.0,2216,2216.0
HUST,HUST_4-8.pkl,1747.0,1706,1706.0
HUST,HUST_5-1.pkl,2583.0,2507,2507.0
HUST,HUST_5-2.pkl,1981.0,1926,1926.0
HUST,HUST_5-3.pkl,2764.0,2689,2689.0
HUST,HUST_5-4.pkl,2025.0,1962,1962.0
HUST,HUST_5-5.pkl,1634.0,1583,1583.0
HUST,HUST_5-6.pkl,2538.0,2460,2460.0
HUST,HUST_5-7.pkl,1490.0,1448,1448.0
HUST,HUST_6-1.pkl,1667.0,1609,1609.0
HUST,HUST_6-2.pkl,1972.0,1908,1908.0
HUST,HUST_6-3.pkl,1869.0,1804,1804.0
HUST,HUST_6-4.pkl,1779.0,1717,1717.0
HUST,HUST_6-5.pkl,2255.0,2178,2178.0
HUST,HUST_6-6.pkl,2542.0,2468,2468.0
HUST,HUST_6-8.pkl,2574.0,2450,2450.0
HUST,HUST_7-1.pkl,1752.0,1690,1690.0
HUST,HUST_7-2.pkl,2088.0,2030,2030.0
HUST,HUST_7-3.pkl,1318.0,1295,1295.0
HUST,HUST_7-4.pkl,1421.0,1393,1393.0
HUST,HUST_7-5.pkl,1907.0,1873,1873.0
HUST,HUST_7-6.pkl,1450.0,1419,1419.0
HUST,HUST_7-7.pkl,1726.0,1685,1685.0
HUST,HUST_7-8.pkl,1975.0,1938,1938.0
HUST,HUST_8-1.pkl,1338.0,1308,1308.0
HUST,HUST_8-2.pkl,2100.0,2041,2041.0
HUST,HUST_8-3.pkl,2338.0,2290,2290.0
HUST,HUST_8-4.pkl,1938.0,1885,1885.0
HUST,HUST_8-5.pkl,1382.0,1348,1348.0
HUST,HUST_8-6.pkl,2436.0,2365,2365.0
HUST,HUST_8-7.pkl,2116.0,2047,2047.0
HUST,HUST_8-8.pkl,1722.0,1679,1679.0
HUST,HUST_9-1.pkl,2106.0,2057,2057.0
HUST,HUST_9-2.pkl,2189.0,2143,2143.0
HUST,HUST_9-3.pkl,1946.0,1905,1905.0
HUST,HUST_9-4.pkl,2023.0,1975,1975.0
HUST,HUST_9-5.pkl,2230.0,2168,2168.0
HUST,HUST_9-6.pkl,1793.0,1742,1742.0
HUST,HUST_9-7.pkl,2061.0,2012,2012.0
HUST,HUST_9-8.pkl,2377.0,2308,2308.0
ISU_ILCC,ISU-ILCC_G10C1.pkl,715.0,2035,715.0
ISU_ILCC,ISU-ILCC_G10C2.pkl,842.0,2358,842.0
ISU_ILCC,ISU-ILCC_G10C3.pkl,602.0,1952,602.0
ISU_ILCC,ISU-ILCC_G10C4.pkl,1017.0,3912,1017.0
ISU_ILCC,ISU-ILCC_G12C1.pkl,1560.0,3281,1560.0
ISU_ILCC,ISU-ILCC_G12C2.pkl,836.0,1518,836.0
ISU_ILCC,ISU-ILCC_G12C3.pkl,1910.0,2972,1910.0
ISU_ILCC,ISU-ILCC_G12C4.pkl,2169.0,4920,2169.0
ISU_ILCC,ISU-ILCC_G13C1.pkl,676.0,1943,676.0
ISU_ILCC,ISU-ILCC_G13C2.pkl,906.0,3107,906.0
ISU_ILCC,ISU-ILCC_G13C3.pkl,818.0,1788,818.0
ISU_ILCC,ISU-ILCC_G13C4.pkl,671.0,1886,671.0
ISU_ILCC,ISU-ILCC_G14C1.pkl,276.0,420,276.0
ISU_ILCC,ISU-ILCC_G14C2.pkl,190.0,250,190.0
ISU_ILCC,ISU-ILCC_G14C3.pkl,134.0,168,134.0
ISU_ILCC,ISU-ILCC_G14C4.pkl,169.0,168,168.0
ISU_ILCC,ISU-ILCC_G16C1.pkl,504.0,745,504.0
ISU_ILCC,ISU-ILCC_G16C2.pkl,544.0,679,544.0
ISU_ILCC,ISU-ILCC_G16C3.pkl,545.0,698,545.0
ISU_ILCC,ISU-ILCC_G16C4.pkl,531.0,723,531.0
ISU_ILCC,ISU-ILCC_G17C1.pkl,937.0,1466,937.0
ISU_ILCC,ISU-ILCC_G17C2.pkl,716.0,1237,716.0
ISU_ILCC,ISU-ILCC_G17C3.pkl,932.0,1304,932.0
ISU_ILCC,ISU-ILCC_G17C4.pkl,674.0,1069,674.0
ISU_ILCC,ISU-ILCC_G18C1.pkl,3285.0,14274,3285.0
ISU_ILCC,ISU-ILCC_G18C2.pkl,1737.0,4062,1737.0
ISU_ILCC,ISU-ILCC_G18C3.pkl,1701.0,4050,1701.0
ISU_ILCC,ISU-ILCC_G18C4.pkl,1597.0,3632,1597.0
ISU_ILCC,ISU-ILCC_G19C1.pkl,476.0,1002,476.0
ISU_ILCC,ISU-ILCC_G19C2.pkl,393.0,844,393.0
ISU_ILCC,ISU-ILCC_G19C3.pkl,570.0,1126,570.0
ISU_ILCC,ISU-ILCC_G19C4.pkl,253.0,417,253.0
ISU_ILCC,ISU-ILCC_G1C1.pkl,3323.0,10553,3323.0
ISU_ILCC,ISU-ILCC_G1C2.pkl,3204.0,11400,3204.0
ISU_ILCC,ISU-ILCC_G1C3.pkl,3211.0,11482,3211.0
ISU_ILCC,ISU-ILCC_G1C4.pkl,2612.0,4596,2612.0
ISU_ILCC,ISU-ILCC_G20C1.pkl,325.0,377,325.0
ISU_ILCC,ISU-ILCC_G20C2.pkl,372.0,418,372.0
ISU_ILCC,ISU-ILCC_G20C3.pkl,625.0,763,625.0
ISU_ILCC,ISU-ILCC_G20C4.pkl,639.0,715,639.0
ISU_ILCC,ISU-ILCC_G21C1.pkl,472.0,586,472.0
ISU_ILCC,ISU-ILCC_G21C2.pkl,745.0,926,745.0
ISU_ILCC,ISU-ILCC_G21C3.pkl,448.0,737,448.0
ISU_ILCC,ISU-ILCC_G21C4.pkl,536.0,659,536.0
ISU_ILCC,ISU-ILCC_G22C1.pkl,492.0,586,492.0
ISU_ILCC,ISU-ILCC_G22C2.pkl,308.0,514,308.0
ISU_ILCC,ISU-ILCC_G22C3.pkl,514.0,650,514.0
ISU_ILCC,ISU-ILCC_G22C4.pkl,428.0,523,428.0
ISU_ILCC,ISU-ILCC_G23C1.pkl,499.0,679,499.0
ISU_ILCC,ISU-ILCC_G23C2.pkl,569.0,741,569.0
ISU_ILCC,ISU-ILCC_G23C3.pkl,466.0,629,466.0
ISU_ILCC,ISU-ILCC_G23C4.pkl,547.0,732,547.0
ISU_ILCC,ISU-ILCC_G24C1.pkl,507.0,631,507.0
ISU_ILCC,ISU-ILCC_G24C2.pkl,603.0,756,603.0
ISU_ILCC,ISU-ILCC_G24C3.pkl,420.0,552,420.0
ISU_ILCC,ISU-ILCC_G24C4.pkl,444.0,634,444.0
ISU_ILCC,ISU-ILCC_G25C1.pkl,726.0,1523,726.0
ISU_ILCC,ISU-ILCC_G25C2.pkl,826.0,1589,826.0
ISU_ILCC,ISU-ILCC_G25C3.pkl,935.0,3037,935.0
ISU_ILCC,ISU-ILCC_G27C1.pkl,665.0,8903,665.0
ISU_ILCC,ISU-ILCC_G27C2.pkl,588.0,10367,588.0
ISU_ILCC,ISU-ILCC_G27C3.pkl,446.0,3679,446.0
ISU_ILCC,ISU-ILCC_G27C4.pkl,663.0,8837,663.0
ISU_ILCC,ISU-ILCC_G28C1.pkl,607.0,1693,607.0
ISU_ILCC,ISU-ILCC_G28C2.pkl,440.0,2110,440.0
ISU_ILCC,ISU-ILCC_G28C3.pkl,628.0,2109,628.0
ISU_ILCC,ISU-ILCC_G28C4.pkl,398.0,1633,398.0
ISU_ILCC,ISU-ILCC_G29C1.pkl,1133.0,3117,1133.0
ISU_ILCC,ISU-ILCC_G29C2.pkl,967.0,6560,967.0
ISU_ILCC,ISU-ILCC_G29C3.pkl,1309.0,4246,1309.0
ISU_ILCC,ISU-ILCC_G29C4.pkl,1166.0,3226,1166.0
ISU_ILCC,ISU-ILCC_G2C1.pkl,1119.0,2566,1119.0
ISU_ILCC,ISU-ILCC_G2C2.pkl,743.0,2610,743.0
ISU_ILCC,ISU-ILCC_G2C3.pkl,957.0,2546,957.0
ISU_ILCC,ISU-ILCC_G2C4.pkl,1031.0,2787,1031.0
ISU_ILCC,ISU-ILCC_G30C1.pkl,440.0,1452,440.0
ISU_ILCC,ISU-ILCC_G30C2.pkl,658.0,1231,658.0
ISU_ILCC,ISU-ILCC_G30C3.pkl,664.0,2002,664.0
ISU_ILCC,ISU-ILCC_G30C4.pkl,499.0,943,499.0
ISU_ILCC,ISU-ILCC_G31C1.pkl,537.0,2395,537.0
ISU_ILCC,ISU-ILCC_G31C2.pkl,747.0,2618,747.0
ISU_ILCC,ISU-ILCC_G31C3.pkl,744.0,2533,744.0
ISU_ILCC,ISU-ILCC_G31C4.pkl,716.0,2992,716.0
ISU_ILCC,ISU-ILCC_G32C1.pkl,1608.0,8273,1608.0
ISU_ILCC,ISU-ILCC_G32C2.pkl,1354.0,5857,1354.0
ISU_ILCC,ISU-ILCC_G32C3.pkl,1593.0,7329,1593.0
ISU_ILCC,ISU-ILCC_G32C4.pkl,1569.0,5794,1569.0
ISU_ILCC,ISU-ILCC_G33C1.pkl,1667.0,6453,1667.0
ISU_ILCC,ISU-ILCC_G33C2.pkl,1500.0,5746,1500.0
ISU_ILCC,ISU-ILCC_G33C3.pkl,2646.0,5985,2646.0
ISU_ILCC,ISU-ILCC_G33C4.pkl,1472.0,5009,1472.0
ISU_ILCC,ISU-ILCC_G34C1.pkl,2593.0,13881,2593.0
ISU_ILCC,ISU-ILCC_G34C2.pkl,3109.0,16644,3109.0
ISU_ILCC,ISU-ILCC_G34C3.pkl,2244.0,13646,2244.0
ISU_ILCC,ISU-ILCC_G34C4.pkl,2440.0,16586,2440.0
ISU_ILCC,ISU-ILCC_G35C1.pkl,647.0,1142,647.0
ISU_ILCC,ISU-ILCC_G35C2.pkl,358.0,431,358.0
ISU_ILCC,ISU-ILCC_G35C3.pkl,507.0,761,507.0
ISU_ILCC,ISU-ILCC_G35C4.pkl,445.0,656,445.0
ISU_ILCC,ISU-ILCC_G36C1.pkl,555.0,827,555.0
ISU_ILCC,ISU-ILCC_G36C2.pkl,609.0,971,609.0
ISU_ILCC,ISU-ILCC_G36C3.pkl,569.0,1053,569.0
ISU_ILCC,ISU-ILCC_G36C4.pkl,297.0,427,297.0
ISU_ILCC,ISU-ILCC_G37C1.pkl,698.0,947,698.0
ISU_ILCC,ISU-ILCC_G37C2.pkl,653.0,782,653.0
ISU_ILCC,ISU-ILCC_G37C3.pkl,575.0,725,575.0
ISU_ILCC,ISU-ILCC_G37C4.pkl,487.0,587,487.0
ISU_ILCC,ISU-ILCC_G38C1.pkl,431.0,770,431.0
ISU_ILCC,ISU-ILCC_G38C2.pkl,395.0,564,395.0
ISU_ILCC,ISU-ILCC_G38C3.pkl,588.0,845,588.0
ISU_ILCC,ISU-ILCC_G38C4.pkl,561.0,1135,561.0
ISU_ILCC,ISU-ILCC_G39C1.pkl,490.0,732,490.0
ISU_ILCC,ISU-ILCC_G39C2.pkl,507.0,716,507.0
ISU_ILCC,ISU-ILCC_G39C3.pkl,477.0,728,477.0
ISU_ILCC,ISU-ILCC_G39C4.pkl,553.0,912,553.0
ISU_ILCC,ISU-ILCC_G3C1.pkl,886.0,1993,886.0
ISU_ILCC,ISU-ILCC_G3C2.pkl,522.0,1155,522.0
ISU_ILCC,ISU-ILCC_G3C3.pkl,764.0,1770,764.0
ISU_ILCC,ISU-ILCC_G3C4.pkl,533.0,1164,533.0
ISU_ILCC,ISU-ILCC_G40C1.pkl,2953.0,8897,2953.0
ISU_ILCC,ISU-ILCC_G40C2.pkl,2739.0,9335,2739.0
MATR,MATR_b1c0.pkl,1858.0,1849,1849.0
MATR,MATR_b1c1.pkl,2154.0,2158,2154.0
MATR,MATR_b1c11.pkl,786.0,786,786.0
MATR,MATR_b1c14.pkl,877.0,878,877.0
MATR,MATR_b1c15.pkl,719.0,717,717.0
MATR,MATR_b1c16.pkl,860.0,860,860.0
MATR,MATR_b1c17.pkl,858.0,855,855.0
MATR,MATR_b1c18.pkl,687.0,688,687.0
MATR,MATR_b1c19.pkl,786.0,786,786.0
MATR,MATR_b1c2.pkl,2237.0,2235,2235.0
MATR,MATR_b1c20.pkl,533.0,532,532.0
MATR,MATR_b1c21.pkl,557.0,557,557.0
MATR,MATR_b1c23.pkl,1012.0,1012,1012.0
MATR,MATR_b1c24.pkl,1015.0,1015,1015.0
MATR,MATR_b1c25.pkl,852.0,852,852.0
MATR,MATR_b1c26.pkl,868.0,868,868.0
MATR,MATR_b1c27.pkl,841.0,840,840.0
MATR,MATR_b1c28.pkl,858.0,858,858.0
MATR,MATR_b1c29.pkl,915.0,915,915.0
MATR,MATR_b1c3.pkl,1431.0,1432,1431.0
MATR,MATR_b1c30.pkl,707.0,707,707.0
MATR,MATR_b1c31.pkl,875.0,874,874.0
MATR,MATR_b1c32.pkl,729.0,729,729.0
MATR,MATR_b1c33.pkl,754.0,755,754.0
MATR,MATR_b1c34.pkl,742.0,740,740.0
MATR,MATR_b1c35.pkl,701.0,701,701.0
MATR,MATR_b1c36.pkl,704.0,702,702.0
MATR,MATR_b1c37.pkl,648.0,646,646.0
MATR,MATR_b1c38.pkl,614.0,615,614.0
MATR,MATR_b1c39.pkl,622.0,623,622.0
MATR,MATR_b1c4.pkl,1705.0,1707,1705.0
MATR,MATR_b1c40.pkl,964.0,964,964.0
MATR,MATR_b1c41.pkl,1049.0,1049,1049.0
MATR,MATR_b1c42.pkl,700.0,700,700.0
MATR,MATR_b1c43.pkl,649.0,649,649.0
MATR,MATR_b1c44.pkl,614.0,614,614.0
MATR,MATR_b1c45.pkl,597.0,597,597.0
MATR,MATR_b1c5.pkl,1071.0,1072,1071.0
MATR,MATR_b1c6.pkl,633.0,634,633.0
MATR,MATR_b1c7.pkl,869.0,868,868.0
MATR,MATR_b1c9.pkl,1052.0,1052,1052.0
MATR,MATR_b2c0.pkl,299.0,325,299.0
MATR,MATR_b2c1.pkl,147.0,169,147.0
MATR,MATR_b2c10.pkl,560.0,595,560.0
MATR,MATR_b2c11.pkl,476.0,504,476.0
MATR,MATR_b2c12.pkl,456.0,489,456.0
MATR,MATR_b2c13.pkl,482.0,519,482.0
MATR,MATR_b2c14.pkl,484.0,508,484.0
MATR,MATR_b2c17.pkl,493.0,524,493.0
MATR,MATR_b2c18.pkl,486.0,522,486.0
MATR,MATR_b2c19.pkl,460.0,488,460.0
MATR,MATR_b2c2.pkl,437.0,463,437.0
MATR,MATR_b2c20.pkl,501.0,530,501.0
MATR,MATR_b2c21.pkl,488.0,519,488.0
MATR,MATR_b2c22.pkl,512.0,539,512.0
MATR,MATR_b2c23.pkl,526.0,561,526.0
MATR,MATR_b2c24.pkl,494.0,523,494.0
MATR,MATR_b2c25.pkl,460.0,486,460.0
MATR,MATR_b2c26.pkl,470.0,497,470.0
MATR,MATR_b2c27.pkl,467.0,494,467.0
MATR,MATR_b2c28.pkl,508.0,540,508.0
MATR,MATR_b2c29.pkl,497.0,521,497.0
MATR,MATR_b2c3.pkl,334.0,360,334.0
MATR,MATR_b2c30.pkl,480.0,506,480.0
MATR,MATR_b2c31.pkl,491.0,518,491.0
MATR,MATR_b2c32.pkl,518.0,543,518.0
MATR,MATR_b2c33.pkl,519.0,545,519.0
MATR,MATR_b2c34.pkl,498.0,525,498.0
MATR,MATR_b2c35.pkl,462.0,485,462.0
MATR,MATR_b2c36.pkl,534.0,559,534.0
MATR,MATR_b2c37.pkl,477.0,501,477.0
MATR,MATR_b2c38.pkl,464.0,486,464.0
MATR,MATR_b2c39.pkl,458.0,479,458.0
MATR,MATR_b2c4.pkl,443.0,470,443.0
MATR,MATR_b2c40.pkl,498.0,529,498.0
MATR,MATR_b2c41.pkl,428.0,451,428.0
MATR,MATR_b2c42.pkl,465.0,491,465.0
MATR,MATR_b2c43.pkl,461.0,486,461.0
MATR,MATR_b2c44.pkl,455.0,477,455.0
MATR,MATR_b2c45.pkl,486.0,513,486.0
MATR,MATR_b2c46.pkl,428.0,448,428.0
MATR,MATR_b2c47.pkl,712.0,744,712.0
MATR,MATR_b2c5.pkl,479.0,506,479.0
MATR,MATR_b2c6.pkl,510.0,544,510.0
MATR,MATR_b3c0.pkl,1007.0,1007,1007.0
MATR,MATR_b3c1.pkl,1061.0,1061,1061.0
MATR,MATR_b3c10.pkl,1076.0,1076,1076.0
MATR,MATR_b3c11.pkl,815.0,815,815.0
MATR,MATR_b3c12.pkl,930.0,930,930.0
MATR,MATR_b3c13.pkl,814.0,814,814.0
MATR,MATR_b3c14.pkl,856.0,856,856.0
MATR,MATR_b3c15.pkl,874.0,874,874.0
MATR,MATR_b3c16.pkl,1635.0,1636,1635.0
MATR,MATR_b3c17.pkl,1313.0,1313,1313.0
MATR,MATR_b3c18.pkl,1143.0,1144,1143.0
MATR,MATR_b3c19.pkl,1152.0,1153,1152.0
MATR,MATR_b3c20.pkl,811.0,811,811.0
MATR,MATR_b3c21.pkl,770.0,770,770.0
MATR,MATR_b3c22.pkl,1000.0,1000,1000.0
MATR,MATR_b3c24.pkl,823.0,823,823.0
MATR,MATR_b3c25.pkl,988.0,987,987.0
MATR,MATR_b3c26.pkl,1025.0,1026,1025.0
MATR,MATR_b3c27.pkl,847.0,848,847.0
MATR,MATR_b3c28.pkl,539.0,539,539.0
MATR,MATR_b3c29.pkl,855.0,856,855.0
MATR,MATR_b3c3.pkl,1113.0,1113,1113.0
MATR,MATR_b3c30.pkl,933.0,933,933.0
MATR,MATR_b3c31.pkl,729.0,729,729.0
MATR,MATR_b3c33.pkl,1282.0,1282,1282.0
MATR,MATR_b3c34.pkl,1156.0,1156,1156.0
MATR,MATR_b3c35.pkl,1091.0,1091,1091.0
MATR,MATR_b3c36.pkl,921.0,921,921.0
MATR,MATR_b3c38.pkl,1932.0,1933,1932.0
MATR,MATR_b3c39.pkl,1154.0,1154,1154.0
MATR,MATR_b3c4.pkl,1045.0,1046,1045.0
MATR,MATR_b3c40.pkl,794.0,794,794.0
MATR,MATR_b3c41.pkl,784.0,784,784.0
MATR,MATR_b3c44.pkl,938.0,938,938.0
MATR,MATR_b3c45.pkl,1799.0,1799,1799.0
MATR,MATR_b3c5.pkl,826.0,826,826.0
MATR,MATR_b3c6.pkl,665.0,665,665.0
MATR,MATR_b3c7.pkl,1834.0,1834,1834.0
MATR,MATR_b3c8.pkl,826.0,826,826.0
MATR,MATR_b3c9.pkl,1036.0,1037,1036.0
MATR,MATR_b4c0.pkl,856.0,982,856.0
MATR,MATR_b4c1.pkl,760.0,861,760.0
MATR,MATR_b4c10.pkl,872.0,1082,872.0
MATR,MATR_b4c11.pkl,863.0,930,863.0
MATR,MATR_b4c12.pkl,818.0,898,818.0
MATR,MATR_b4c13.pkl,771.0,869,771.0
MATR,MATR_b4c14.pkl,607.0,767,607.0
MATR,MATR_b4c15.pkl,675.0,871,675.0
MATR,MATR_b4c16.pkl,909.0,983,909.0
MATR,MATR_b4c17.pkl,827.0,930,827.0
MATR,MATR_b4c18.pkl,906.0,1057,906.0
MATR,MATR_b4c19.pkl,991.0,1111,991.0
MATR,MATR_b4c2.pkl,742.0,784,742.0
MATR,MATR_b4c20.pkl,747.0,804,747.0
MATR,MATR_b4c21.pkl,773.0,903,773.0
MATR,MATR_b4c22.pkl,671.0,745,671.0
MATR,MATR_b4c23.pkl,1038.0,1094,1038.0
MATR,MATR_b4c24.pkl,988.0,1115,988.0
MATR,MATR_b4c25.pkl,453.0,567,453.0
MATR,MATR_b4c26.pkl,476.0,579,476.0
MATR,MATR_b4c27.pkl,500.0,563,500.0
MATR,MATR_b4c28.pkl,828.0,882,828.0
MATR,MATR_b4c29.pkl,887.0,956,887.0
MATR,MATR_b4c3.pkl,777.0,911,777.0
MATR,MATR_b4c30.pkl,615.0,719,615.0
MATR,MATR_b4c31.pkl,559.0,832,559.0
MATR,MATR_b4c32.pkl,754.0,839,754.0
MATR,MATR_b4c33.pkl,505.0,530,505.0
MICH,MICH_BLForm10_pouch_NMC_25C_0-100_1-1C_j.pkl,323.0,459,323.0
MICH,MICH_BLForm11_pouch_NMC_25C_0-100_1-1C_a.pkl,314.0,426,314.0
MICH,MICH_BLForm12_pouch_NMC_25C_0-100_1-1C_b.pkl,289.0,433,289.0
MICH,MICH_BLForm13_pouch_NMC_25C_0-100_1-1C_c.pkl,283.0,438,283.0
MICH,MICH_BLForm14_pouch_NMC_25C_0-100_1-1C_d.pkl,325.0,477,325.0
MICH,MICH_BLForm15_pouch_NMC_25C_0-100_1-1C_e.pkl,294.0,442,294.0
MICH,MICH_BLForm16_pouch_NMC_25C_0-100_1-1C_f.pkl,304.0,442,304.0
MICH,MICH_BLForm17_pouch_NMC_25C_0-100_1-1C_g.pkl,267.0,442,267.0
MICH,MICH_BLForm18_pouch_NMC_25C_0-100_1-1C_h.pkl,273.0,439,273.0
MICH,MICH_BLForm19_pouch_NMC_25C_0-100_1-1C_i.pkl,293.0,442,293.0
MICH,MICH_BLForm1_pouch_NMC_45C_0-100_1-1C_a.pkl,313.0,492,313.0
MICH,MICH_BLForm20_pouch_NMC_25C_0-100_1-1C_j.pkl,272.0,442,272.0
MICH,MICH_BLForm2_pouch_NMC_45C_0-100_1-1C_b.pkl,299.0,464,299.0
MICH,MICH_BLForm3_pouch_NMC_45C_0-100_1-1C_c.pkl,373.0,513,373.0
MICH,MICH_BLForm4_pouch_NMC_45C_0-100_1-1C_d.pkl,298.0,492,298.0
MICH,MICH_BLForm5_pouch_NMC_45C_0-100_1-1C_e.pkl,319.0,492,319.0
MICH,MICH_BLForm6_pouch_NMC_45C_0-100_1-1C_f.pkl,345.0,454,345.0
MICH,MICH_BLForm7_pouch_NMC_45C_0-100_1-1C_g.pkl,321.0,457,321.0
MICH,MICH_BLForm8_pouch_NMC_45C_0-100_1-1C_h.pkl,325.0,492,325.0
MICH,MICH_BLForm9_pouch_NMC_45C_0-100_1-1C_i.pkl,191.0,574,191.0
